n, union, find
2000, 0.034000, 0.011000
4000, 0.049000, 0.022000
8000, 0.072000, 0.035000
16000, 0.104000, 0.048000
32000, 0.194000, 0.124000
64000, 0.283000, 0.130000
128000, 0.389000, 0.176000
256000, 0.572000, 0.344000
512000, 0.936000, 0.589000
1024000, 1.534000, 1.074000
