n, union, find
2000, 0.038000, 0.013000
4000, 0.058000, 0.024000
8000, 0.142000, 0.029000
32000, 0.709000, 0.040000
64000, 2.414000, 0.077000
128000, 8.732000, 0.135000
256000, 34.019000, 0.265000
512000, 134.925000, 0.478000
1028000, 648.292000, 1.039000
