n, union, find
2000, 0.041000, 0.018000
4000, 0.062000, 0.050000
8000, 0.097000, 0.081000
16000, 0.176000, 0.232000
32000, 0.408000, 0.796000
64000, 1.037000, 3.535000
128000, 4.864000, 22.131000
256000, 23.777000, 116.197000
512000, 115.466000, 485.061000
1024000, 1027.266000, 46733.876000
